epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1864.48,0.68514,0.47505,1.89214,0.99778,1,0.995,0.99175,0.29867,0.16861,1.63998,0.000339673,0.000339673,0.000339673
79,1888.36,0.69413,0.56218,1.90024,0.99671,0.99296,0.995,0.98607,0.33119,0.18957,1.65947,0.000325526,0.000325526,0.000325526
80,1913.46,0.66956,0.50427,1.89221,0.99719,0.99723,0.995,0.99164,0.24144,0.19469,1.62426,0.000311379,0.000311379,0.000311379
81,1937.43,0.66613,0.46832,1.88122,0.99582,1,0.995,0.99353,0.25101,0.15628,1.62689,0.000297232,0.000297232,0.000297232
82,1963.55,0.66344,0.45739,1.87491,0.99622,1,0.995,0.99347,0.23578,0.15441,1.62585,0.000283085,0.000283085,0.000283085
83,1988.01,0.62778,0.4169,1.85798,0.99834,0.99399,0.995,0.99224,0.2432,0.1703,1.62807,0.000268938,0.000268938,0.000268938
84,2013.61,0.65441,0.46842,1.87743,0.99755,0.9906,0.995,0.98944,0.29161,0.1776,1.65085,0.000254791,0.000254791,0.000254791
85,2037.25,0.65785,0.44521,1.874,0.9938,0.9987,0.995,0.99276,0.25214,0.1617,1.62797,0.000240644,0.000240644,0.000240644
86,2062.47,0.64471,0.43691,1.8621,0.99847,0.98998,0.995,0.99207,0.26099,0.16087,1.62826,0.000226497,0.000226497,0.000226497
87,2086,0.62581,0.43817,1.86145,0.98701,0.99975,0.995,0.99194,0.25119,0.16612,1.63141,0.000212349,0.000212349,0.000212349
88,2111.31,0.61914,0.39911,1.85323,0.9965,0.99369,0.995,0.99299,0.23978,0.16085,1.62783,0.000198202,0.000198202,0.000198202
89,2135.11,0.63366,0.41995,1.86487,0.99785,1,0.995,0.99206,0.24963,0.15631,1.62955,0.000184055,0.000184055,0.000184055
90,2160.05,0.6136,0.41355,1.86245,0.99821,0.99072,0.995,0.99283,0.2403,0.1593,1.62653,0.000169908,0.000169908,0.000169908
91,2226.91,0.40133,0.22342,1.73644,0.99802,1,0.995,0.99259,0.24332,0.14815,1.62534,0.000155761,0.000155761,0.000155761
92,2251.93,0.40103,0.21353,1.72832,0.99185,1,0.995,0.99364,0.22581,0.15992,1.62714,0.000141614,0.000141614,0.000141614
93,2277.6,0.39056,0.21109,1.72785,0.9952,0.99909,0.995,0.99163,0.24246,0.15656,1.6292,0.000127467,0.000127467,0.000127467
94,2302.78,0.38978,0.23235,1.74206,0.99682,1,0.995,0.99161,0.24536,0.14543,1.62404,0.00011332,0.00011332,0.00011332
95,2328.42,0.37437,0.21762,1.71356,0.99463,0.99897,0.995,0.99272,0.209,0.13613,1.61236,9.91726e-05,9.91726e-05,9.91726e-05
96,2354.05,0.36662,0.20209,1.72767,0.99822,0.99013,0.995,0.99226,0.22315,0.14214,1.62337,8.50255e-05,8.50255e-05,8.50255e-05
97,2379,0.37088,0.19695,1.70701,0.99726,1,0.995,0.99232,0.24776,0.14396,1.62033,7.08784e-05,7.08784e-05,7.08784e-05
98,2403.71,0.38129,0.19547,1.73005,0.99896,0.98786,0.99467,0.9914,0.22108,0.14757,1.61789,5.67313e-05,5.67313e-05,5.67313e-05
99,2428.73,0.36109,0.19363,1.69114,0.99625,1,0.995,0.99229,0.22452,0.13778,1.61571,4.25842e-05,4.25842e-05,4.25842e-05
100,2454.04,0.36982,0.19355,1.71917,0.99785,0.99095,0.995,0.99229,0.21429,0.14289,1.61483,2.84371e-05,2.84371e-05,2.84371e-05
